"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position"
"1","00-0035719",981,0.0235513281956683,0.0203073097492313,0.00214102983596984,"Deebo Samuel","SF","WR"
"2","00-0037840",1750,0.0227337917355861,0.0208584401571457,0.00206670833959874,"Kyren Williams","LA","RB"
"3","00-0027857",20,0.0217674009107552,0.0207099280442264,0.00197885462825047,"Trent Williams","SF","OL"
"4","00-0036358",1173,0.0207664549987195,0.0201720964734508,0.00188785954533813,"CeeDee Lamb","DAL","WR"
"5","00-0036261",1104,0.0203856873878235,0.0208357546375304,0.00185324430798396,"Brandon Aiyuk","SF","WR"
"6","00-0037829",1740,0.0190132170055505,0.0203050151657019,0.00172847427323187,"Spencer Burford","SF","OL"
"7","00-0031236",142,0.0188332163901238,0.0210785663171835,0.00171211058092035,"Brandin Cooks","DAL","WR"
"8","00-0032701",305,0.0181492349956548,0.021137899386601,0.00164993045415043,"Jake Brendel","SF","OL"
"9","00-0036973",1432,0.0176626756586481,0.021432318702666,0.00160569778714983,"Travis Etienne","JAX","RB"
"10","00-0035680",955,0.0173078977452168,0.0201067299115662,0.00157344524956516,"Quincy Williams","NYJ","LB"
"11","00-0028899",46,0.017001151496214,0.0222145307404235,0.00154555922692854,"Rodney McLeod Jr.","CLE","DB"
"12","00-0035526",902,0.0165836606395957,0.0202245244898329,0.00150760551269052,"Elgton Jenkins","GB","OL"
"13","00-0036256",1100,0.0165507908559911,0.0203523291965017,0.00150461735054465,"Colton McKivitz","SF","OL"
"14","00-0036621",1281,0.0162730872633733,0.0202403068095109,0.00147937156939757,"Nick Bolton","KC","LB"
"15","00-0034764",689,0.0162502924308742,0.0207102647205658,0.00147729931189766,"Michael Gallup","DAL","WR"
"16","00-0034746",680,0.0162432440961561,0.0207369426698666,0.00147665855419601,"Maurice Hurst","CLE","DL"
"17","00-0031687",198,0.0162430716843209,0.020914824401978,0.00147664288039281,"Raheem Mostert","MIA","RB"
"18","00-0036282",1119,0.0161574112935836,0.0207285691986975,0.00146885557214397,"Grant Delpit","CLE","DB"
"19","00-0037834",1745,0.0161115340774862,0.0200188415454413,0.00146468491613511,"Brock Purdy","SF","QB"
"20","00-0033868",468,0.0160147804389494,0.0208310768785481,0.00145588913081359,"Myles Garrett","CLE","DL"
"21","00-0036613",1274,0.0157667075065986,0.0206058891665664,0.00143333704605442,"Jaylen Waddle","MIA","WR"
"22","00-0035230",823,0.0154733874730776,0.0200376824595606,0.0014066715884616,"Ed Oliver","BUF","DL"
"23","00-0033288",386,0.0152971904117356,0.0210129992017765,0.00139065367379415,"George Kittle","SF","TE"
"24","00-0036130",1044,0.0150549919611168,0.0209109136423079,0.0013686356328288,"Justin Madubuike","BAL","DL"
"25","00-0036378",1188,0.0149959786549671,0.0192054515456784,0.00136327078681519,"Michael Danna","KC","DL"
"26","00-0037155",1509,0.0148296414767119,0.0207533262255589,0.00134814922515563,"Tony Adams","NYJ","DB"
"27","00-0034833",728,0.0147700623880216,0.0214224717495628,0.0013427329443656,"Isaiah Wynn","MIA","OL"
"28","00-0032195",242,0.0146140195944382,0.0210609113948513,0.00132854723585802,"Ronald Darby","BAL","DB"
"29","00-0033553",426,0.0146074013455856,0.0203191265928966,0.00132794557687141,"James Conner","ARI","RB"
"30","00-0033066",352,0.0145318949864362,0.0204301847746558,0.00132108136240329,"Andrew Billings","CHI","DL"
"31","00-0034856",741,0.0143722496122439,0.0209569533959868,0.00130656814656763,"Denzel Ward","CLE","DB"
"32","00-0034184",551,0.0143386253555195,0.0213364674244821,0.00130351139595631,"Gus Edwards","BAL","RB"
"33","00-0034352",589,0.0143373032433284,0.0210670681429327,0.00130339120393895,"Connor Williams","MIA","OL"
"34","00-0034345",583,0.0143141018579333,0.0210580583815805,0.00130128198708484,"Frank Ragnow","DET","OL"
"35","00-0031936",214,0.0142259360812888,0.0203858474488113,0.0012932669164808,"Mitch Morse","BUF","OL"
"36","00-0035689",962,0.0142249762594258,0.0210847962898616,0.0012931796599478,"Dawson Knox","BUF","TE"
