"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0030061",53,0.0323020184463499,0.0237504100678987,0.00293654713148635,"Zach Ertz","WAS","TE",2024
"2","00-0037261",1293,0.026304919496891,0.022532945114114,0.00239135631789919,"Khalil Shakir","BUF","WR",2024
"3","00-0038133",1533,0.0243022367225271,0.0235154902638166,0.00220929424750246,"Boye Mafe","SEA","LB",2024
"4","00-0035676",758,0.0241358421414714,0.0227509397164206,0.00219416746740649,"A.J. Brown","PHI","WR",2024
"5","00-0035763",789,0.023603068796993,0.0232918879919765,0.00214573352699936,"Malcolm Roach","DEN","DL",2024
"6","00-0038386",1545,0.0233279592368242,0.0230875642825742,0.00212072356698402,"Jalen Carter","PHI","DL",2024
"7","00-0033375",291,0.023229960452519,0.0230047450741268,0.00211181458659264,"Tim Patrick","DET","WR",2024
"8","00-0039139",1839,0.0231318376219022,0.0233038604298211,0.00210289432926384,"Jahmyr Gibbs","DET","RB",2024
"9","00-0034753",536,0.0224140200269441,0.0226179132381679,0.00203763818426765,"Mark Andrews","BAL","TE",2024
"10","00-0035166",643,0.022167126685596,0.0229000592832117,0.00201519333505418,"Azeez Al-Shaair","HOU","LB",2024
"11","00-0036954",1164,0.0219514630674171,0.0223072220726146,0.00199558755158337,"Levi Onwuzurike","DET","DL",2024
"12","00-0030757",75,0.0218033592180794,0.0229690561495292,0.00198212356527994,"Mike Pennel","KC","DL",2024
"13","00-0038976",1770,0.0213511793288505,0.023072807816293,0.00194101630262277,"Marvin Mims Jr.","DEN","WR",2024
"14","00-0036416",983,0.0212252346281908,0.0229633773523583,0.00192956678438098,"Kristian Fulton","LAC","DB",2024
"15","00-0035689",768,0.0208941853716595,0.0229262971557824,0.0018994713974236,"Dawson Knox","BUF","TE",2024
"16","00-0039009",1791,0.0204785612688865,0.0239055593355122,0.00186168738808059,"Dylan Horton","HOU","DL",2024
"17","00-0034829",571,0.0201244679960457,0.0228459841437427,0.00182949709054961,"Mike Gesicki","CIN","TE",2024
"18","00-0036410",978,0.0197444496721428,0.023493281592337,0.0017949499701948,"Tee Higgins","CIN","WR",2024
"19","00-0033904",378,0.0197315975158899,0.0225360492235889,0.00179378159235363,"Dion Dawkins","BUF","OL",2024
"20","00-0035112",627,0.0195965645331108,0.0234196078978399,0.00178150586664644,"Patrick Mekari","BAL","OL",2024
"21","00-0035692",769,0.01956105802897,0.0231210497817711,0.00177827800263363,"Clelin Ferrell","WAS","DL",2024
"22","00-0030506",68,0.0189336584396656,0.0222535912100006,0.00172124167633324,"Travis Kelce","KC","TE",2024
"23","00-0036629",1048,0.0188551886953655,0.0234054760133774,0.00171410806321504,"Camryn Bynum","MIN","DB",2024
"24","00-0032965",232,0.0188400013418698,0.0240878715404498,0.00171272739471544,"Ronnie Stanley","BAL","OL",2024
"25","00-0034796",555,0.0186608460844481,0.0233587383585732,0.00169644055313165,"Lamar Jackson","BAL","QB",2024
"26","00-0034285",443,0.0183848107341639,0.0222773806714126,0.00167134643037854,"Zach Sieler","MIA","DL",2024
"27","00-0033858",348,0.0183362400296884,0.0231536649573543,0.00166693091178986,"Jonnu Smith","MIA","TE",2024
"28","00-0035253",672,0.0181534608745046,0.023273296929961,0.00165031462495496,"C.J. Gardner-Johnson","PHI","DB",2024
"29","00-0033955",402,0.0180759148486124,0.0224103688144238,0.00164326498623749,"Jeremy McNichols","WAS","RB",2024
"30","00-0031408",104,0.017973595428388,0.0231201285732609,0.00163396322076255,"Mike Evans","TB","WR",2024
"31","00-0035537",719,0.0179669793234301,0.022623681933865,0.00163336175667546,"Ty Johnson","BUF","RB",2024
"32","00-0035525",716,0.017942272359173,0.0225472067611968,0.00163111566901573,"Devin Bush","CLE","LB",2024
"33","00-0036901",1125,0.0179295301071006,0.0234952104701824,0.00162995728246369,"Eric Stokes","GB","DB",2024
"34","00-0036244",876,0.0178784838104487,0.0224327366180166,0.00162531671004079,"Colby Parkinson","LA","TE",2024
"35","00-0027969",23,0.0178297229796059,0.0225462612288799,0.0016208839072369,"Cameron Heyward","PIT","DL",2024
"36","00-0035227",651,0.0177645437451932,0.0232647583548029,0.00161495852229029,"P.J. Locke","DEN","DB",2024
"37","00-0034203",427,0.0174646949271814,0.0226363481806697,0.00158769953883467,"Darious Williams","LA","DB",2024
"38","00-0032401",187,0.017355906224744,0.0236970860177053,0.00157780965679491,"De'Vondre Campbell","SF","LB",2024
"39","00-0035679",760,0.0173232055689434,0.0232113345465695,0.00157483686990395,"Connor McGovern","BUF","OL",2024
"40","00-0037007",1206,0.0172854350073207,0.0232829856858476,0.0015714031824837,"Patrick Jones II","MIN","LB",2024
"41","00-0037838",1482,0.0171739727671407,0.023823757337195,0.00156127025155824,"Isaiah Likely","BAL","TE",2024
"42","00-0034857",584,0.017140009886127,0.0224763575819095,0.00155818271692064,"Josh Allen","BUF","QB",2024
"43","00-0029592",40,0.0170416944938317,0.023928185402465,0.0015492449539847,"Kevin Zeitler","DET","OL",2024
"44","00-0033093",253,0.0168256109392197,0.0229440395356655,0.00152960099447452,"Jonathan Bullard","MIN","DL",2024
"45","00-0036212",860,0.0166257463598895,0.0232125783997566,0.00151143148726268,"Tua Tagovailoa","MIA","QB",2024
"46","00-0034967",597,0.0166223359816516,0.0232884212951232,0.00151112145287742,"Rashan Gary","GB","DL",2024
"47","00-0026190",7,0.016523068358199,0.0221822480670596,0.00150209712347263,"Calais Campbell","MIA","DL",2024
"48","00-0036900",1124,0.016438285706347,0.0234311210980378,0.00149438960966791,"Ja'Marr Chase","CIN","WR",2024
"49","00-0033555",317,0.0164132887229455,0.0209428425452338,0.00149211715663141,"Mack Hollins","BUF","WR",2024
