"","season","team","coach","offense","defense","div_wins","division_win_pct","division_win_percentile"
"286",2025,"NYG","Brian Daboll","Mike Kafka","Shane Bowen, Charlie Bullen",2,0.333333333333333,0.222826086956522
"287",2015,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",3,0.5,0.407608695652174
"288",2016,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",2,0.333333333333333,0.222826086956522
"289",2017,"NYJ","Todd Bowles","John Morton","Kacy Rodgers",2,0.333333333333333,0.222826086956522
"290",2018,"NYJ","Todd Bowles","Jeremy Bates","Kacy Rodgers",1,0.166666666666667,0.0516304347826087
"291",2019,"NYJ","Adam Gase","Dowell Loggains","Gregg Williams",2,0.333333333333333,0.222826086956522
"292",2020,"NYJ","Adam Gase","Dowell Loggains","Frank Bush, Gregg Williams",0,0,0
"293",2021,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",0,0,0
"294",2022,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",2,0.333333333333333,0.222826086956522
"295",2023,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",2,0.333333333333333,0.222826086956522
"296",2024,"NYJ","Jeff Ulbrich","Nathaniel Hackett","",2,0.333333333333333,0.222826086956522
"297",2024,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",2,0.333333333333333,0.222826086956522
"298",2025,"NYJ","Aaron Glenn","Tanner Engstrand","Steve Wilks",0,0,0
"299",2015,"PHI","Pat Shurmur","","Bill Davis",3,0.5,0.407608695652174
"300",2015,"PHI","Chip Kelly","Pat Shurmur","Bill Davis",3,0.5,0.407608695652174
"301",2016,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",2,0.333333333333333,0.222826086956522
"302",2017,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",5,0.833333333333333,0.875
"303",2018,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",4,0.666666666666667,0.64945652173913
"304",2019,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",5,0.833333333333333,0.875
"305",2020,"PHI","Doug Pederson","","Jim Schwartz",2,0.333333333333333,0.222826086956522
"306",2021,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",3,0.5,0.407608695652174
"307",2022,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",4,0.666666666666667,0.64945652173913
"308",2023,"PHI","Nick Sirianni","Brian Johnson","Sean Desai",4,0.666666666666667,0.64945652173913
"309",2024,"PHI","Nick Sirianni","Kellen Moore","Vic Fangio",5,0.833333333333333,0.875
"310",2025,"PHI","Nick Sirianni","Kevin Patullo","Vic Fangio",3,0.5,0.407608695652174
"311",2015,"PIT","Mike Tomlin","Todd Haley","Keith Butler",3,0.5,0.407608695652174
"312",2016,"PIT","Mike Tomlin","Todd Haley","Keith Butler",5,0.833333333333333,0.875
"313",2017,"PIT","Mike Tomlin","Todd Haley","Keith Butler",6,1,1
"314",2018,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",4,0.666666666666667,0.64945652173913
"315",2019,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",3,0.5,0.407608695652174
"316",2020,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",4,0.666666666666667,0.64945652173913
"317",2021,"PIT","Mike Tomlin","Matt Canada","Keith Butler",4,0.666666666666667,0.64945652173913
"318",2022,"PIT","Mike Tomlin","Matt Canada","Teryl Austin",3,0.5,0.407608695652174
"319",2023,"PIT","Mike Tomlin","Matt Canada, Eddie Faulkner","Teryl Austin",5,0.833333333333333,0.875
"320",2024,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",3,0.5,0.407608695652174
"321",2025,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",4,0.666666666666667,0.64945652173913
"322",2015,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",3,0.5,0.407608695652174
"323",2016,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",3,0.5,0.407608695652174
"324",2017,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",4,0.666666666666667,0.64945652173913
"325",2018,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",3,0.5,0.407608695652174
"326",2019,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",3,0.5,0.407608695652174
"327",2020,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",4,0.666666666666667,0.64945652173913
"328",2021,"SEA","Pete Carroll","Shane Waldron","Ken Norton",3,0.5,0.407608695652174
"329",2022,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",4,0.666666666666667,0.64945652173913
"330",2023,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",2,0.333333333333333,0.222826086956522
"331",2024,"SEA","Mike Macdonald","Ryan Grubb","Aden Durde",4,0.666666666666667,0.64945652173913
"332",2025,"SEA","Mike Macdonald","Klint Kubiak","Aden Durde",4,0.666666666666667,0.64945652173913
"333",2015,"SF","Jim Tomsula","Geep Chryst","Eric Mangini",1,0.166666666666667,0.0516304347826087
"334",2016,"SF","Chip Kelly","Curtis Modkins","Jim O'Neil",2,0.333333333333333,0.222826086956522
"335",2017,"SF","Kyle Shanahan","","Robert Saleh",1,0.166666666666667,0.0516304347826087
"336",2018,"SF","Kyle Shanahan","","Robert Saleh",1,0.166666666666667,0.0516304347826087
"337",2019,"SF","Kyle Shanahan","","Robert Saleh",5,0.833333333333333,0.875
"338",2020,"SF","Kyle Shanahan","","Robert Saleh",3,0.5,0.407608695652174
"339",2021,"SF","Kyle Shanahan","Mike McDaniel","DeMeco Ryans",2,0.333333333333333,0.222826086956522
"340",2022,"SF","Kyle Shanahan","","DeMeco Ryans",6,1,1
"341",2023,"SF","Kyle Shanahan","","Steve Wilks",5,0.833333333333333,0.875
"342",2024,"SF","Kyle Shanahan","","Nick Sorensen",1,0.166666666666667,0.0516304347826087
"343",2025,"SF","Kyle Shanahan","Klay Kubiak","Robert Saleh",4,0.666666666666667,0.64945652173913
"344",2015,"TB","Lovie Smith","Dirk Koetter","Leslie Frazier",3,0.5,0.407608695652174
"345",2016,"TB","Dirk Koetter","Todd Monken","Mike Smith",4,0.666666666666667,0.64945652173913
"346",2017,"TB","Dirk Koetter","Todd Monken","Mike Smith",1,0.166666666666667,0.0516304347826087
"347",2018,"TB","Dirk Koetter","Todd Monken","Mark Duffner, Mike Smith",2,0.333333333333333,0.222826086956522
"348",2019,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",2,0.333333333333333,0.222826086956522
"349",2020,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",4,0.666666666666667,0.64945652173913
"350",2021,"TB","Bruce Arians","Byron Leftwich","Todd Bowles",4,0.666666666666667,0.64945652173913
"351",2022,"TB","Todd Bowles","Byron Leftwich","Larry Foote, Kacy Rodgers",4,0.666666666666667,0.64945652173913
"352",2023,"TB","Todd Bowles","Dave Canales","Larry Foote, Kacy Rodgers",4,0.666666666666667,0.64945652173913
"353",2024,"TB","Todd Bowles","Liam Coen","Larry Foote, Kacy Rodgers",4,0.666666666666667,0.64945652173913
"354",2025,"TB","Todd Bowles","Josh Grizzard","",3,0.5,0.407608695652174
"355",2015,"TEN","Mike Mularkey","Jason Michael","Ray Horton",1,0.166666666666667,0.0516304347826087
"356",2015,"TEN","Ken Whisenhunt","Jason Michael","Ray Horton",1,0.166666666666667,0.0516304347826087
"357",2016,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",2,0.333333333333333,0.222826086956522
"358",2017,"TEN","Mike Mularkey","Terry Robiskie","Dick LeBeau",5,0.833333333333333,0.875
"359",2018,"TEN","Mike Vrabel","Matt LaFleur","Dean Pees",3,0.5,0.407608695652174
"360",2019,"TEN","Mike Vrabel","Arthur Smith","Dean Pees",3,0.5,0.407608695652174
"361",2020,"TEN","Mike Vrabel","Arthur Smith","",5,0.833333333333333,0.875
"362",2021,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",5,0.833333333333333,0.875
"363",2022,"TEN","Mike Vrabel","Todd Downing","Shane Bowen",3,0.5,0.407608695652174
"364",2023,"TEN","Mike Vrabel","Tim Kelly","Shane Bowen",1,0.166666666666667,0.0516304347826087
"365",2024,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",1,0.166666666666667,0.0516304347826087
"366",2025,"TEN","Mike McCoy","Nick Holz","Dennard Wilson",0,0,0
"367",2025,"TEN","Brian Callahan","Nick Holz","Dennard Wilson",0,0,0
"368",2015,"WSH","Jay Gruden","Sean McVay","Joe Barry",4,0.666666666666667,0.64945652173913
"369",2016,"WSH","Jay Gruden","Sean McVay","Joe Barry",3,0.5,0.407608695652174
"370",2017,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",1,0.166666666666667,0.0516304347826087
"371",2018,"WSH","Jay Gruden","Matt Cavanaugh","Greg Manusky",2,0.333333333333333,0.222826086956522
"372",2019,"WSH","Bill Callahan","Kevin O'Connell","Greg Manusky",0,0,0
"373",2019,"WSH","Jay Gruden","Kevin O'Connell","Greg Manusky",0,0,0
"374",2020,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",4,0.666666666666667,0.64945652173913
"375",2021,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",2,0.333333333333333,0.222826086956522
"376",2022,"WSH","Ron Rivera","Scott Turner","Jack Del Rio",2,0.333333333333333,0.222826086956522
"377",2023,"WSH","Ron Rivera","Eric Bieniemy","Jack Del Rio",0,0,0
"378",2024,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",4,0.666666666666667,0.64945652173913
"379",2025,"WSH","Dan Quinn","Kliff Kingsbury","Joe Whitt",3,0.5,0.407608695652174
