"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0030506",164,0.0202688916118178,0.0171142139413726,0.00184262651016525,"Travis Kelce","KC","TE",2022
"2","00-0034272",760,0.0180516397321154,0.0167987323162891,0.00164105815746503,"Marquez Valdes-Scantling","KC","WR",2022
"3","00-0033873",645,0.0171517699877595,0.016360354770113,0.00155925181706905,"Patrick Mahomes","KC","QB",2022
"4","00-0031588",277,0.0168618721975423,0.016997805333208,0.00153289747250384,"Stefon Diggs","BUF","WR",2022
"5","00-0036623",1615,0.0148025127190041,0.0167481282584022,0.00134568297445492,"Creed Humphrey","KC","OL",2022
"6","00-0034752",901,0.0147347143276645,0.0167275978061177,0.00133951948433314,"Orlando Brown","KC","OL",2022
"7","00-0029653",112,0.0146199450892329,0.0173221258741085,0.00132908591720299,"Fletcher Cox","PHI","DL",2022
"8","00-0032391",383,0.0144784429174881,0.0163746511922202,0.00131622208340801,"Joe Thuney","KC","OL",2022
"9","00-0033109",505,0.0142942191771303,0.0168002691354755,0.00129947447064821,"Javon Hargrave","PHI","DL",2022
"10","00-0030561",167,0.0142423321864637,0.0172128211220435,0.0012947574714967,"Lane Johnson","PHI","OL",2022
"11","00-0031376",238,0.0140348607551854,0.0165327157297147,0.00127589643228959,"Jerick McKinnon","KC","RB",2022
"12","00-0036963",1785,0.013814662907674,0.0163984119665976,0.00125587844615218,"Amon-Ra St. Brown","DET","WR",2022
"13","00-0034830",945,0.013736701099973,0.017141184854312,0.00124879100908845,"Hayden Hurst","CIN","TE",2022
"14","00-0033831",633,0.0135464555461997,0.0165076705376679,0.00123149595874543,"Andrew Wylie","KC","OL",2022
"15","00-0033875",647,0.0131120688569259,0.0164964096970459,0.00119200625972053,"Haason Reddick","PHI","LB",2022
"16","00-0036231",1385,0.0129830544679958,0.0161848119234114,0.00118027767890871,"Kyle Dugger","NE","DB",2022
"17","00-0036932",1760,0.0128442599604326,0.0162895042082027,0.00116765999640296,"Micah Parsons","DAL","LB",2022
"18","00-0033857",636,0.0127818151431298,0.0163979049865802,0.00116198319482998,"JuJu Smith-Schuster","KC","WR",2022
"19","00-0036212",1371,0.0124817961336485,0.0171316866480018,0.00113470873942259,"Tua Tagovailoa","MIA","QB",2022
"20","00-0032109",327,0.0122460750834821,0.0173990747703308,0.00111327955304382,"Kwon Alexander","NYJ","LB",2022
"21","00-0036261",1408,0.0117287468333208,0.0169233550845635,0.00106624971212007,"Brandon Aiyuk","SF","WR",2022
"22","00-0033009",476,0.0114870247114325,0.016866319256498,0.00104427497376659,"Tyler Boyd","CIN","WR",2022
"23","00-0030067",137,0.0114510082495655,0.0164877708816837,0.0010410007499605,"Terron Armstead","MIA","OL",2022
"24","00-0036660",1647,0.0112387293472129,0.0164685848624934,0.00102170266792844,"Trey Smith","KC","OL",2022
"25","00-0036389",1505,0.0110583476460603,0.0165912662798737,0.00100530433146003,"Jalen Hurts","PHI","QB",2022
"26","00-0036410",1522,0.0106995350159048,0.0165263679596725,0.000972685001445893,"Tee Higgins","CIN","WR",2022
"27","00-0036613",1605,0.0102875609840455,0.0171986911417427,0.000935232816731409,"Jaylen Waddle","MIA","WR",2022
"28","00-0036220",1377,0.0102819236457973,0.0172262121226877,0.000934720331436114,"Derrick Brown","CAR","DL",2022
"29","00-0032671",428,0.0101767516074966,0.0177710646705232,0.000925159237045143,"Morgan Fox","LAC","DL",2022
"30","00-0036564",1588,0.00995369786286912,0.0164842434606364,0.000904881623897193,"Talanoa Hufanga","SF","DB",2022
"31","00-0036912",1744,0.00994956875878829,0.0167390648302588,0.000904506250798936,"DeVonta Smith","PHI","WR",2022
"32","00-0032454",406,0.00988059847391713,0.0169916953640458,0.000898236224901557,"Jayron Kearse","DAL","DB",2022
"33","00-0031938",310,0.00986068846162438,0.017016540251972,0.000896426223784034,"Carl Davis","NE","DL",2022
"34","00-0033877",649,0.00983972034280087,0.0166807805794484,0.000894520031163716,"Malik Hooker","DAL","DB",2022
"35","00-0033943",696,0.00972712214420688,0.0170301544311961,0.000884283831291534,"Josh Reynolds","DET","WR",2022
"36","00-0036376",1498,0.00971264045020261,0.0163825853140283,0.000882967313654783,"Tyler Biadasz","DAL","OL",2022
"37","00-0033466",566,0.00969750112730233,0.0168513053280277,0.000881591011572939,"Isaiah McKenzie","BUF","WR",2022
"38","00-0034373",804,0.00968032506805989,0.0162511440368362,0.000880029551641809,"Dorance Armstrong","DAL","DL",2022
"39","00-0037002",1819,0.00967553005032991,0.0163517349069327,0.000879593640939083,"Landon Dickerson","PHI","OL",2022
"40","00-0036638",1629,0.00965140246008836,0.0160986005770792,0.000877400223644397,"Darrick Forrest","WAS","DB",2022
"41","00-0034573",868,0.00959447848230418,0.0165915244586388,0.000872225316573107,"Charvarius Ward","SF","DB",2022
"42","00-0035678",1218,0.00956667385356345,0.0172164036111266,0.000869697623051223,"Dre'Mont Jones","DEN","DL",2022
"43","00-0036973",1792,0.0095560187593703,0.0171174975970808,0.000868728978124572,"Travis Etienne","JAX","RB",2022
"44","00-0037228",1897,0.00935281448121609,0.0166892774721538,0.000850255861928735,"Jaylen Warren","PIT","RB",2022
"45","00-0027857",40,0.00929692041845226,0.0169816567449649,0.00084517458349566,"Trent Williams","SF","OL",2022
"46","00-0034777",914,0.00927197038927231,0.0166537952608287,0.000842906399024756,"D.J. Chark","DET","WR",2022
"47","00-0036642",1631,0.00920715754964355,0.0170441374889798,0.000837014322694868,"Tedarrell Slaton","GB","DL",2022
"48","00-0032954",465,0.00909734925660229,0.016217446311865,0.000827031750600208,"Isaac Seumalo","PHI","OL",2022
"49","00-0037322",1975,0.00898631082880603,0.0176987788455103,0.000816937348073275,"Thayer Munford","LV","OL",2022
