"","season","team","coach","offense","defense","player_dev_percentile","offense_dev_percentile","defense_dev_percentile","win_percentile","playoff_percentile","close_win_percentile","aggressiveness_percentile","two_minute_percentile","division_win_percentile","score"
"1",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",NA,NA,NA,0,0,0.0909090909090909,0.0331632653061225,0.214893128016548,0,NA
"2",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",NA,NA,NA,0.441176470588235,0,0.382352941176471,0.302611752887996,0.846378111684234,0.407608695652174,NA
"3",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",NA,NA,NA,0.0588235294117647,0,0.176470588235294,0.839647367167024,0.633401686033265,0,NA
"4",2022,"ARI","Kliff Kingsbury","","Vance Joseph",NA,NA,NA,0.0588235294117647,0,0.0294117647058824,0.0905257936507936,0.404659579280706,0.0516304347826087,NA
"5",2021,"ARI","Kliff Kingsbury","","Vance Joseph",NA,NA,NA,0.787878787878788,0.575757575757576,0.333333333333333,0.686185044359949,0.11415220293725,0.64945652173913,NA
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",0.5625,0.46875,0.71875,0.558823529411765,0,0.470588235294118,0.503914988814318,0.314002828854314,0.222826086956522,3.82015566933104
"7",2019,"ARI","Kliff Kingsbury","","Vance Joseph",0.344827586206897,0.724137931034483,0.0689655172413793,0.151515151515152,0,0.303030303030303,0.752114164904863,0.881380651434127,0.0516304347826087,3.27760174014981
"8",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",0,0,0.5,0,0,0.121212121212121,0.0304324612920448,0.336684649337911,0.222826086956522,1.2111553187986
"9",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",0.310344827586207,0,0.689655172413793,0.46875,0,0.875,0.0629842539365159,0.1886932804364,0.407608695652174,3.00303623002509
"10",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",NA,NA,NA,0.323529411764706,0,0.352941176470588,0.0269011898603207,0.555774439793154,0.64945652173913,NA
"11",2015,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",NA,NA,NA,0.970588235294118,0.911764705882353,0.970588235294118,0.427634896621281,0.538423401090729,0.64945652173913,NA
"12",2025,"ATL","Raheem Morris","Zac Robinson","Jeff Ulbrich",NA,NA,NA,0.424242424242424,0,0.515151515151515,0.936479591836735,0.777292576419214,0.407608695652174,NA
"13",2024,"ATL","Raheem Morris","Zac Robinson","Jimmy Lake",NA,NA,NA,0.441176470588235,0,0.5,0.690858864892014,0.316887194438215,0.64945652173913,NA
"14",2023,"ATL","Arthur Smith","Dave Ragone","Ryan Nielsen",NA,NA,NA,0.264705882352941,0,0.264705882352941,0.494639027877055,0.698564593301435,0.407608695652174,NA
"15",2022,"ATL","Arthur Smith","Dave Ragone","Dean Pees",NA,NA,NA,0.264705882352941,0,0.264705882352941,0.687003968253968,0.176656864962678,0.222826086956522,NA
"16",2021,"ATL","Arthur Smith","Dave Ragone","Dean Pees",NA,NA,NA,0.242424242424242,0,0.878787878787879,0.531558935361217,0.971295060080107,0.222826086956522,NA
"17",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",0.59375,0.5625,0.65625,0.0588235294117647,0,0.0294117647058824,0.562639821029083,0,0.0516304347826087,2.51500554992934
"18",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",0.59375,0.5625,0.65625,0.0588235294117647,0,0.0294117647058824,0.562639821029083,0,0.0516304347826087,2.51500554992934
"19",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",0.59375,0.5625,0.65625,0.0588235294117647,0,0.0294117647058824,0.562639821029083,0,0.0516304347826087,2.51500554992934
"20",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",0.59375,0.5625,0.65625,0.0588235294117647,0,0.0294117647058824,0.562639821029083,0,0.0516304347826087,2.51500554992934
"21",2019,"ATL","Dan Quinn","Dirk Koetter","",0.379310344827586,0.551724137931034,0.275862068965517,0.363636363636364,0,0.363636363636364,0.843287526427061,0.652892561983471,0.64945652173913,4.07980588914653
"22",2018,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",0.433333333333333,0.833333333333333,0.0666666666666667,0.393939393939394,0,0.424242424242424,0.536839295248265,0.528200098087298,0.64945652173913,3.86601106658984
"23",2017,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",0.689655172413793,0.793103448275862,0.620689655172414,0.71875,0.78125,0.6875,0.379655086228443,0,0.64945652173913,5.32005988382964
"24",2016,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",NA,NA,NA,0.823529411764706,0.970588235294118,0.5,0.617175375064666,0.214232947549865,0.875,NA
"25",2015,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",NA,NA,NA,0.558823529411765,0,0.529411764705882,0.0590015128593041,0.761279127416956,0.0516304347826087,NA
"26",2025,"BAL","John Harbaugh","Todd Monken","Zach Orr",NA,NA,NA,0.424242424242424,0,0.121212121212121,0.494897959183673,0,0.407608695652174,NA
"27",2024,"BAL","John Harbaugh","Todd Monken","Zach Orr",NA,NA,NA,0.823529411764706,0.794117647058823,0.5,0.251130085384229,0.649472976003588,0.64945652173913,NA
"28",2023,"BAL","John Harbaugh","Todd Monken","Mike Macdonald",NA,NA,NA,1,0.911764705882353,0.441176470588235,0.18084345961401,0.730006835269993,0.407608695652174,NA
"29",2022,"BAL","John Harbaugh","Greg Roman","Mike Macdonald",NA,NA,NA,0.764705882352941,0.617647058823529,0.617647058823529,0.401041666666667,0.573399683329563,0.407608695652174,NA
"30",2021,"BAL","John Harbaugh","Greg Roman","Don Martindale",NA,NA,NA,0.363636363636364,0,0.484848484848485,0.967807351077313,0.424121050289275,0.0516304347826087,NA
"31",2020,"BAL","John Harbaugh","Greg Roman","Don Martindale",0.84375,0.65625,0.875,0.705882352941177,0.794117647058823,0.205882352941176,0.8165548098434,0.670909948137671,0.64945652173913,6.21780363266138
"32",2019,"BAL","John Harbaugh","Greg Roman","Don Martindale",1,1,0.896551724137931,1,0.787878787878788,0.909090909090909,0.783826638477801,0.719980554205153,0.875,7.97232861379058
"33",2018,"BAL","John Harbaugh","Marty Mornhinweg","Don Martindale",0.8,0.266666666666667,1,0.696969696969697,0.666666666666667,0.363636363636364,0.591030432461292,0.300637567435017,0.407608695652174,5.09321608948788
"34",2017,"BAL","John Harbaugh","Marty Mornhinweg","Dean Pees",0.655172413793103,0.379310344827586,0.96551724137931,0.5,0,0.09375,0.778305423644089,0.432184478056038,0.407608695652174,4.2118485973523
"35",2016,"BAL","John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees",NA,NA,NA,0.470588235294118,0,0.5,0.496120020693223,0.243536074858409,0.64945652173913,NA
"36",2015,"BAL","John Harbaugh","Marc Trestman","Dean Pees",NA,NA,NA,0.147058823529412,0,0.205882352941176,0.366111951588502,0,0.407608695652174,NA
"37",2025,"BUF","Sean McDermott","Joe Brady","Bobby Babich",NA,NA,NA,0.787878787878788,0.787878787878788,0.696969696969697,0.875510204081633,0.876350264307056,0.64945652173913,NA
"38",2024,"BUF","Sean McDermott","Joe Brady","Bobby Babich",NA,NA,NA,0.882352941176471,0.911764705882353,0.823529411764706,0.875439477649422,0.751962323390895,0.875,NA
"39",2023,"BUF","Sean McDermott","Joe Brady, Ken Dorsey","",NA,NA,NA,0.764705882352941,0.794117647058823,0.441176470588235,0.274958303550155,0.762360446570973,0.64945652173913,NA
"40",2022,"BUF","Sean McDermott","Ken Dorsey","Leslie Frazier",NA,NA,NA,0.941176470588235,0.794117647058823,0.823529411764706,0.603174603174603,0.689436779009274,0.64945652173913,NA
"41",2021,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",NA,NA,NA,0.787878787878788,0.787878787878788,0,0.126742712294043,0.769470404984424,0.875,NA
