"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0035719",981,0.0250015453358743,0.0215953284258138,0.00227286775780675,"Deebo Samuel","SF","WR",2023
"2","00-0037840",1750,0.0246423574764686,0.022372261801245,0.0022402143160426,"Kyren Williams","LA","RB",2023
"3","00-0027857",20,0.023381784327114,0.0219057868836174,0.00212561675701036,"Trent Williams","SF","OL",2023
"4","00-0036358",1173,0.0216795331297659,0.0215418731237106,0.00197086664816053,"CeeDee Lamb","DAL","WR",2023
"5","00-0036261",1104,0.0210015529842293,0.0209024817238926,0.00190923208947539,"Brandon Aiyuk","SF","WR",2023
"6","00-0037829",1740,0.0198572966237929,0.0210946076710383,0.00180520878398117,"Spencer Burford","SF","OL",2023
"7","00-0028899",46,0.0190819303421747,0.0217872465480924,0.0017347209401977,"Rodney McLeod Jr.","CLE","DB",2023
"8","00-0032701",305,0.018896546559668,0.021586732699307,0.00171786786906073,"Jake Brendel","SF","OL",2023
"9","00-0031236",142,0.0186938916499383,0.0218984794998299,0.00169944469544893,"Brandin Cooks","DAL","WR",2023
"10","00-0036973",1432,0.0186587212382585,0.0210922879436818,0.00169624738529623,"Travis Etienne","JAX","RB",2023
"11","00-0035680",955,0.0183084783846051,0.0217707655782911,0.00166440712587319,"Quincy Williams","NYJ","LB",2023
"12","00-0035526",902,0.0180312865473893,0.0226227731807691,0.00163920786794448,"Elgton Jenkins","GB","OL",2023
"13","00-0036621",1281,0.017980295209956,0.0210729818866638,0.00163457229181418,"Nick Bolton","KC","LB",2023
"14","00-0031687",198,0.0172601414419666,0.0213296939349389,0.00156910376745151,"Raheem Mostert","MIA","RB",2023
"15","00-0036256",1100,0.0171417317761407,0.0218590774396678,0.00155833925237643,"Colton McKivitz","SF","OL",2023
"16","00-0036282",1119,0.0169586306000519,0.0208732140915158,0.00154169369091381,"Grant Delpit","CLE","DB",2023
"17","00-0036613",1274,0.0167438843715361,0.0210288778586473,0.00152217130650328,"Jaylen Waddle","MIA","WR",2023
"18","00-0034764",689,0.0167386197131601,0.0208971391460185,0.00152169270119638,"Michael Gallup","DAL","WR",2023
