"","season","team","wp_total","wp_percentile","coach","offense","defense"
"159",2019,"IND",-0.531761676073071,0.320612542537676,"Frank Reich","Nick Sirianni","Matt Eberflus"
"160",2020,"IND",-0.296036471845583,0.480669495520981,"Frank Reich","Nick Sirianni","Matt Eberflus"
"161",2021,"IND",0.0275466898040231,0.464396973742768,"Frank Reich","Marcus Brady","Matt Eberflus"
"162",2022,"IND",-1.1540862827313,0.141823116941868,"Jeff Saturday","Marcus Brady","Gus Bradley"
"163",2022,"IND",-1.1540862827313,0.141823116941868,"Frank Reich","Marcus Brady","Gus Bradley"
"164",2023,"IND",-1.43468348368872,0.06265664160401,"Shane Steichen","Jim Bob Cooter","Gus Bradley"
"165",2024,"IND",-0.451041292806624,0.538685803991926,"Shane Steichen","Jim Bob Cooter","Gus Bradley"
"166",2025,"IND",-0.110589496820467,0.367731555964146,"Shane Steichen","Jim Bob Cooter","Lou Anarumo"
"167",2015,"JAX",0.141106234964873,0.723599405057015,"Gus Bradley","Greg Olson","Bob Babich"
"168",2016,"JAX",-1.25798132104713,0.0822457522777641,"Doug Marrone","Nathaniel Hackett, Greg Olson","Todd Wash"
"169",2016,"JAX",-1.25798132104713,0.0822457522777641,"Gus Bradley","Nathaniel Hackett, Greg Olson","Todd Wash"
"170",2017,"JAX",-1.26409695667784,0.125216960079345,"Doug Marrone","Nathaniel Hackett","Todd Wash"
"171",2018,"JAX",-1.24169841911157,0.0316331535066209,"Doug Marrone","Nathaniel Hackett","Todd Wash"
"172",2019,"JAX",0.579720178566951,0.849052017501215,"Doug Marrone","John DeFilippo","Todd Wash"
"173",2020,"JAX",-0.930317884238322,0.104196133899104,"Doug Marrone","Jay Gruden","Todd Wash"
"174",2021,"JAX",-0.424189949839248,0.142412105028927,"Darrell Bevell","","Joe Cullen"
"175",2021,"JAX",-0.424189949839248,0.142412105028927,"Urban Meyer","Darrell Bevell","Joe Cullen"
"176",2022,"JAX",0.286641193750255,0.797330920606198,"Doug Pederson","Press Taylor","Mike Caldwell"
"177",2023,"JAX",-0.408239527525441,0.483937115516063,"Doug Pederson","Press Taylor","Mike Caldwell"
"178",2024,"JAX",-1.04304266395589,0.225386858039919,"Doug Pederson","Press Taylor","Ryan Nielsen"
"179",2025,"JAX",-0.135436321241559,0.304068030337853,"Liam Coen","Grant Udinski","Anthony Campanile"
"180",2015,"KC",-1.13329792017164,0.200545364402578,"Andy Reid","Doug Pederson","Bob Sutton"
"181",2016,"KC",0.0086053764556211,0.798571780349668,"Andy Reid","Brad Childress","Bob Sutton"
"182",2017,"KC",0.708493054783042,0.817753533349864,"Andy Reid","Matt Nagy","Bob Sutton"
"183",2018,"KC",0.0799895038800662,0.619176066699362,"Andy Reid","Eric Bieniemy","Bob Sutton"
"184",2019,"KC",0.705689779220848,0.906417112299465,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"185",2020,"KC",1.14175650704104,0.905233380480905,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"186",2021,"KC",0.0188209228806901,0.391855807743658,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"187",2022,"KC",-0.0976753764553031,0.510065596019,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"188",2023,"KC",0.312761429488049,0.790157211209843,"Andy Reid","Matt Nagy","Steve Spagnuolo"
"189",2024,"KC",0.967708890941313,0.940793899977573,"Andy Reid","Matt Nagy","Steve Spagnuolo"
"190",2025,"KC",-0.825729627267719,0.127556883475063,"Andy Reid","Matt Nagy","Steve Spagnuolo"
"191",2015,"LAC",-0.275318445535958,0.475706494794249,"Mike McCoy","Frank Reich","John Pagano"
"192",2016,"LAC",-2.84388909924193,0,"Mike McCoy","Ken Whisenhunt","John Pagano"
"193",2017,"LAC",-0.750057344615924,0.281180262831639,"Anthony Lynn","Ken Whisenhunt","Gus Bradley"
"194",2018,"LAC",-0.518381518207782,0.400686611083865,"Anthony Lynn","Ken Whisenhunt","Gus Bradley"
"195",2019,"LAC",-1.71506257112807,0,"Anthony Lynn","Shane Steichen, Ken Whisenhunt","Gus Bradley"
"196",2020,"LAC",-0.532104477883145,0.343470061291843,"Anthony Lynn","Shane Steichen","Gus Bradley"
"197",2021,"LAC",0.362440201855016,0.67601246105919,"Brandon Staley","Joe Lombardi","Renaldo Hill"
"198",2022,"LAC",0.564707872210421,0.925808640579055,"Brandon Staley","Joe Lombardi","Renaldo Hill"
"199",2023,"LAC",-1.67281462420579,0,"Giff Smith","Kellen Moore","Derrick Ansley"
"200",2023,"LAC",-1.67281462420579,0,"Brandon Staley","Kellen Moore","Derrick Ansley"
"201",2024,"LAC",-0.0162598271798568,0.623682440008971,"Jim Harbaugh","Greg Roman","Jesse Minter"
"202",2025,"LAC",0.869040117468999,0.81015858423351,"Jim Harbaugh","Greg Roman","Jesse Minter"
"203",2015,"LAR",-0.817305306030904,0.229548834903322,"Jeff Fisher","Rob Boras, Frank Cignetti","Gregg Williams"
"204",2016,"LAR",-1.47857458004974,0.0566362964786998,"John Fassel","Rob Boras","Gregg Williams"
"205",2016,"LAR",-1.47857458004974,0.0566362964786998,"Jeff Fisher","Rob Boras","Gregg Williams"
"206",2017,"LAR",-0.117290940308678,0.516736920406645,"Sean McVay","Matt LaFleur","Wade Phillips"
"207",2018,"LAR",0.594290585592227,0.880823933300638,"Sean McVay","","Wade Phillips"
"208",2019,"LAR",-1.63602902975942,0.0678172095284395,"Sean McVay","","Wade Phillips"
"209",2020,"LAR",-0.0223038165283728,0.58038661008958,"Sean McVay","Kevin O'Connell","Brandon Staley"
"210",2021,"LAR",0.304082108050355,0.598353360035603,"Sean McVay","Kevin O'Connell","Raheem Morris"
"211",2022,"LAR",0.0767624762083901,0.633567066274598,"Sean McVay","Liam Coen","Raheem Morris"
"212",2023,"LAR",-0.704719422755437,0.350421508316245,"Sean McVay","Mike LaFleur","Raheem Morris"
"213",2024,"LAR",-1.35846812485975,0.0847723704866562,"Sean McVay","Mike LaFleur","Chris Shula"
"214",2025,"LAR",0.162270402770455,0.491611123879568,"Sean McVay","Mike LaFleur","Chris Shula"
"215",2015,"LV",0.680709478501481,0.907040158651463,"Jack Del Rio","Bill Musgrave","Ken Norton"
"216",2016,"LV",0.328840124739692,0.829844865796602,"Jack Del Rio","Bill Musgrave","Ken Norton"
"217",2017,"LV",-0.164826306175743,0.48772625836846,"Jack Del Rio","Todd Downing","Ken Norton, John Pagano"
"218",2018,"LV",0.832703019703327,0.914418832761157,"Jon Gruden","Greg Olson","Paul Guenther"
"219",2019,"LV",0.04619288537348,0.624210014584346,"Jon Gruden","Greg Olson","Paul Guenther"
"220",2020,"LV",0.969588138680353,0.875530410183876,"Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli"
"221",2021,"LV",1.06902984771295,0.867823765020027,"Rich Bisaccia","Greg Olson","Gus Bradley"
"222",2021,"LV",1.06902984771295,0.867823765020027,"Jon Gruden","Greg Olson","Gus Bradley"
"223",2022,"LV",-0.185531934675246,0.477041393349921,"Josh McDaniels","Mick Lombardi","Patrick Graham"
"224",2023,"LV",-0.591120956242238,0.408749145591251,"Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham"
"225",2023,"LV",-0.591120956242238,0.408749145591251,"Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham"
"226",2024,"LV",-1.09949380897552,0.191747028481722,"Antonio Pierce","Luke Getsy, Scott Turner","Patrick Graham"
"227",2025,"LV",-0.777246649682457,0.160193059066881,"Pete Carroll","Chip Kelly, Greg Olson","Patrick Graham"
"228",2015,"MIA",-0.378268164944538,0.441993058998513,"Dan Campbell","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle"
"229",2015,"MIA",-0.378268164944538,0.441993058998513,"Joe Philbin","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle"
