"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0033536",817,0.0238975325628309,0.0206790835437258,0.00217250296025736,"Mike Williams","LAC","WR",2021
"2","00-0031408",373,0.0213841219853276,0.0202688157488612,0.00194401108957523,"Mike Evans","TB","WR",2021
"3","00-0036087",1724,0.0193354307508016,0.0217389577907038,0.00175776643189105,"Myles Bryant","NE","DB",2021
"4","00-0033297",767,0.0191510274587386,0.0202469735314804,0.00174100249624896,"D.J. Jones","SF","DL",2021
"5","00-0033307",772,0.0187765927107182,0.0204684597235648,0.00170696297370165,"Kendrick Bourne","NE","WR",2021
"6","00-0032134",491,0.0181223053509342,0.0207281802289829,0.00164748230463038,"C.J. Uzomah","CIN","TE",2021
"7","00-0036976",2268,0.018077464836229,0.0202596158750513,0.00164340589420264,"Spencer Brown","BUF","OL",2021
"8","00-0032445",577,0.0178369656795242,0.0207149367244008,0.0016215423345022,"Ted Karras","NE","OL",2021
"9","00-0033040",692,0.0178035464847109,0.0197123009845271,0.00161850422588281,"Tyreek Hill","KC","WR",2021
"10","00-0036362",1908,0.0176188461955129,0.0204021361429046,0.00160171329050117,"Willie Gay","KC","LB",2021
"11","00-0032392",552,0.017515599273129,0.0212756791946361,0.00159232720664809,"Austin Hooper","CLE","TE",2021
"12","00-0030506",247,0.0173884135751522,0.0195665980080028,0.00158076487046838,"Travis Kelce","KC","TE",2021
"13","00-0031381",364,0.017177130340277,0.020895385351516,0.00156155730366154,"Davante Adams","GB","WR",2021
"14","00-0023459",7,0.0171411218930752,0.0203108198509518,0.00155828380846138,"Aaron Rodgers","GB","QB",2021
"15","00-0033935",950,0.0170847894691599,0.0213130507641475,0.00155316267901453,"Trey Hendrickson","CIN","DL",2021
"16","00-0033009",687,0.0164618586658933,0.02061349166857,0.0014965326059903,"Tyler Boyd","CIN","WR",2021
"17","00-0032071",477,0.0163207432663203,0.021570615304755,0.00148370393330184,"Trenton Brown","NE","OL",2021
"18","00-0028002",91,0.016210147821562,0.021023005336768,0.00147364980196018,"Randall Cobb","GB","WR",2021
"19","00-0030564",257,0.0162090914461502,0.020322069628162,0.00147355376783184,"DeAndre Hopkins","ARI","WR",2021
"20","00-0019596",2,0.0157164220954912,0.0203229201962871,0.00142876564504465,"Tom Brady","TB","QB",2021
"21","00-0035382",1469,0.0154515898556135,0.0212118091900043,0.00140468998687396,"Ryan Bates","BUF","OL",2021
"22","00-0034352",1062,0.0154054849112491,0.0198333810033006,0.00140049862829537,"Connor Williams","DAL","OL",2021
"23","00-0036623",2060,0.0153032335489953,0.019980816023142,0.00139120304990867,"Creed Humphrey","KC","OL",2021
"24","00-0036660",2093,0.0152077194535704,0.0194462706353944,0.00138251995032458,"Trey Smith","KC","OL",2021
"25","00-0035689",1589,0.0152001285476757,0.0215311816570873,0.00138182986797052,"Dawson Knox","BUF","TE",2021
"26","00-0035250",1401,0.0151908781879143,0.0205010219791709,0.00138098892617402,"Devin Singletary","BUF","RB",2021
"27","00-0030578",262,0.0150537875789999,0.0210285945537383,0.00136852614354545,"Cordarrelle Patterson","ATL","RB",2021
"28","00-0036246",1802,0.014872061188571,0.0199575762396301,0.00135200556259736,"Jon Runyan","GB","OL",2021
"29","00-0033874",903,0.0148025668015252,0.0197006402370368,0.00134568789104775,"Marshon Lattimore","NO","DB",2021
"30","00-0030431",235,0.0147805188673566,0.0208429908389716,0.00134368353339605,"Robert Woods","LA","WR",2021
"31","00-0029895",187,0.0146307237646712,0.0198401950547997,0.00133006579678829,"Ryan Jensen","TB","OL",2021
"32","00-0035084",1337,0.0145849415764482,0.0205409646145036,0.00132590377967711,"Yosuah Nijman","GB","OL",2021
"33","00-0034301",1040,0.0145381823075369,0.0196992923733674,0.00132165293704881,"Darrel Williams","KC","RB",2021
"34","00-0036932",2231,0.0144899093102914,0.0206825232501769,0.00131726448275377,"Micah Parsons","DAL","LB",2021
"35","00-0034234",1020,0.0144757242249863,0.0197426730714515,0.00131597492954421,"Poona Ford","SEA","DL",2021
"36","00-0031555",396,0.0144338738388544,0.0210000586726402,0.00131217034898676,"Eric Rowe","MIA","DB",2021
"37","00-0034812",1248,0.0143554920060036,0.0201646534488869,0.00130504472781851,"Travin Howard","LA","LB",2021
"38","00-0034344",1054,0.0143534627985116,0.0203854288381469,0.00130486025441014,"Marcus Davenport","NO","DL",2021
"39","00-0028075",96,0.0142518125687797,0.0211674247696964,0.00129561932443452,"Buster Skrine","TEN","DB",2021
"40","00-0032391",551,0.0142112735500356,0.0198482062159169,0.00129193395909415,"Joe Thuney","KC","OL",2021
"41","00-0036631",2068,0.0140866392113353,0.0201467536055332,0.00128060356466684,"Royce Newman","GB","OL",2021
"42","00-0034374",1079,0.0140356961708164,0.0200436206531739,0.00127597237916513,"Jordan Whitehead","TB","DB",2021
"43","00-0034857",1277,0.0140077252425808,0.0211075918266212,0.00127342956750734,"Josh Allen","BUF","QB",2021
"44","00-0032057",471,0.0138426099709163,0.0203770953894505,0.00125841908826512,"Jaquiski Tartt","SF","DB",2021
