"","rank","coach_name","seasons","n_teams","teams","total_score"
"96",96,"Joe Brady",5,2,"BUF, CAR",12.6744254460368
"97",97,"Josh Boyer",3,1,"MIA",7.59237054592482
"98",98,"Dirk Koetter",4,2,"ATL, TB",10.1224315026551
"99",99,"Joe Lombardi",5,2,"DEN, LAC",12.5640647269923
"100",100,"Dick LeBeau",1,1,"TEN",2.509878761132
"101",101,"Terry Robiskie",1,1,"TEN",2.509878761132
"102",102,"Jeff Hafley",2,1,"GB",4.99490992749864
"103",103,"Don Martindale",6,2,"BAL, NYG",14.9434635964155
"104",104,"Matt Canada",3,1,"PIT",7.41570413020327
"105",105,"Byron Leftwich",5,2,"ARI, TB",12.3299617289172
"106",106,"Wes Phillips",4,1,"MIN",9.85718205714858
"107",107,"Ken Norton",5,2,"LV, SEA",12.1811094705734
"108",108,"Matt Patricia",4,2,"DET, NE",9.71048750446521
"109",109,"Kevin Patullo",1,1,"PHI",2.42393133350471
"110",110,"Ken Dorsey",3,2,"BUF, CLE",7.26693940549981
"111",111,"Mike Caldwell",2,1,"JAX",4.83442421918576
"112",112,"Rick Dennison",1,1,"BUF",2.4112202607475
"113",113,"Eddie Faulkner",1,1,"PIT",2.40713023027749
"114",114,"Aaron Glenn",5,2,"DET, NYJ",12.0294257002576
"115",115,"Renaldo Hill",2,1,"LAC",4.80709671851812
"116",116,"Freddie Kitchens",3,2,"CLE, NYG",7.20340831961529
"117",117,"Klayton Adams",1,1,"DAL",2.40099737055895
"118",118,"Adam Gase",4,2,"MIA, NYJ",9.54142017676033
"119",119,"Matt Burke",5,2,"HOU, MIA",11.9194186012697
"120",120,"Nathaniel Hackett",8,4,"DEN, GB, JAX, NYJ",18.9636532256262
"121",121,"Vance Joseph",9,2,"ARI, DEN",21.1853261072432
"122",122,"Kelvin Sheppard",1,1,"DET",2.34941131088869
"123",123,"Joe Barry",3,1,"GB",7.00633585566742
"124",124,"Marty Mornhinweg",2,1,"BAL",4.6646535555413
"125",125,"Frank Smith",4,1,"MIA",9.20939449725356
"126",126,"Matt Eberflus",8,3,"CHI, DAL, IND",18.3714235143058
"127",127,"Klint Kubiak",3,3,"MIN, NO, SEA",6.84620046667833
"128",128,"Greg Olson",5,1,"LV",11.3986785734205
"129",129,"Marquand Manuel",2,1,"ATL",4.55788330697568
"130",130,"Steve Sarkisian",2,1,"ATL",4.55788330697568
"131",131,"Zach Orr",2,1,"BAL",4.53822607798318
"132",132,"Gus Bradley",8,3,"IND, LAC, LV",18.076053449952
"133",133,"Steve Wilks",6,5,"ARI, CAR, CLE, NYJ, SF",13.43189936221
"134",134,"Ben McAdoo",2,2,"CAR, NYG",4.46808750362093
"135",135,"Joe Whitt",2,1,"WSH",4.44561070004047
"136",136,"Teryl Austin",6,3,"CIN, DET, PIT",13.3241207930171
"137",137,"Shane Waldron",4,2,"CHI, SEA",8.84760808045744
"138",138,"Adam Stenavich",4,1,"GB",8.83529166690625
"139",139,"Jim Schwartz",7,2,"CLE, PHI",15.3497680254396
"140",140,"Derrick Ansley",1,1,"LAC",2.18240311554898
"141",141,"Giff Smith",1,1,"LAC",2.18240311554898
"142",142,"Eric Studesville",1,1,"MIA",2.18151735678129
"143",143,"George Godsey",1,1,"MIA",2.18151735678129
"144",144,"Darrell Bevell",4,3,"DET, JAX, SEA",8.68378411019778
"145",145,"John Fox",1,1,"CHI",2.15991153153938
"146",146,"Clint Hurtt",2,1,"SEA",4.3085402927715
"147",147,"Sean Desai",2,2,"CHI, PHI",4.29688432800779
"148",148,"Kacy Rodgers",5,2,"NYJ, TB",10.7128800637004
