"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0033040",1310,0.0259104124120133,0.0207411113407051,0.00235549203745575,"Tyreek Hill","KC","WR",2018
"2","00-0030506",589,0.0237536115972748,0.0219254182581003,0.00215941923611589,"Travis Kelce","KC","TE",2018
"3","00-0033908",1624,0.023321074679878,0.0220312487703604,0.00212009769817073,"Cooper Kupp","LA","WR",2018
"4","00-0033873",1589,0.0228099473843035,0.0204676331741142,0.00207363158039122,"Patrick Mahomes","KC","QB",2018
"5","00-0027150",148,0.0219557736776534,0.0205512756869684,0.00199597942524122,"Julian Edelman","NE","WR",2018
"6","00-0029253",366,0.0218703460385744,0.0221495908537779,0.00198821327623404,"Mitchell Schwartz","KC","OL",2018
"7","00-0030584",622,0.0218279272327865,0.0205563022532176,0.00198435702116241,"Eric Fisher","KC","OL",2018
"8","00-0033857",1578,0.0209110504698415,0.020962647093165,0.00190100458816741,"JuJu Smith-Schuster","PIT","WR",2018
"9","00-0028411",313,0.0195505266825357,0.0217228083398809,0.00177732060750324,"Dontrelle Inman","IND","WR",2018
"10","00-0033281",1384,0.0188552645899552,0.0210319296911324,0.0017141149627232,"Marlon Humphrey","BAL","DB",2018
"11","00-0032058",978,0.0187152606751675,0.0217626219093853,0.00170138733410614,"Tevin Coleman","ATL","RB",2018
"12","00-0031325",776,0.0186909656638657,0.02103499793639,0.00169917869671507,"Sammy Watkins","KC","WR",2018
"13","00-0032160",1023,0.0186785743418147,0.0210613989824181,0.00169805221289224,"Tyrell Williams","LAC","WR",2018
"14","00-0025900",77,0.0186628426537502,0.0204844332158851,0.00169662205943184,"Chris Clark","CAR","OL",2018
"15","00-0033928",1640,0.0181431400652528,0.0217497354989429,0.00164937636956843,"Jourdan Lewis","DAL","DB",2018
"16","00-0033906",1622,0.0177779726341002,0.0212191181718947,0.00161617933037274,"Alvin Kamara","NO","RB",2018
"17","00-0032958",1285,0.0172641085250268,0.0213400798285674,0.00156946441136607,"Will Parks","DEN","DB",2018
"18","00-0031799",920,0.0170164742041976,0.020500162537282,0.0015469522003816,"Anthony Harris","MIN","DB",2018
"19","00-0032128",1004,0.0165931267507261,0.0204652128805514,0.00150846606824783,"Chris Conley","KC","WR",2018
"20","00-0033888",1604,0.0164475524772111,0.0211349659985671,0.00149523204338282,"Ryan Ramczyk","NO","OL",2018
"21","00-0033831",1571,0.0163805535667566,0.0207195698281394,0.00148914123334151,"Andrew Wylie","KC","OL",2018
"22","00-0027793",197,0.0163427934147665,0.0207351714053855,0.0014857084922515,"Antonio Brown","PIT","WR",2018
"23","00-0026327",100,0.0163145183622446,0.0219240671129132,0.00148313803293133,"John Sullivan","LA","OL",2018
"24","00-0034367",1792,0.0162364962453582,0.0206516029406508,0.00147604511321439,"Nyheim Hines","IND","RB",2018
"25","00-0029608",424,0.0160670728140286,0.02100090735206,0.00146064298309351,"T.Y. Hilton","IND","WR",2018
"26","00-0032697",1190,0.0159933486991475,0.0210531489642974,0.00145394079083159,"Doug Middleton","NYJ","DB",2018
"27","00-0020531",6,0.0157813624591857,0.0213117259460979,0.00143466931447143,"Drew Brees","NO","QB",2018
"28","00-0022942",21,0.0157068042512748,0.0218127379780282,0.00142789129557043,"Philip Rivers","LAC","QB",2018
"29","00-0034874",2025,0.0156120434557186,0.0205758187445845,0.0014192766777926,"Roquan Smith","CHI","LB",2018
"30","00-0032211",1043,0.0155940272827477,0.0209597523830835,0.00141763884388616,"Tyler Lockett","SEA","WR",2018
"31","00-0027957",239,0.0154457366966878,0.0204738099005611,0.00140415788151708,"Prince Amukamara","CHI","DB",2018
"32","00-0030503",586,0.0153483722251969,0.021370451063125,0.00139530656592699,"Alex Okafor","NO","DL",2018
"33","00-0030431",564,0.0153358114628931,0.0209456851019033,0.00139416467844483,"Robert Woods","LA","WR",2018
"34","00-0027953",235,0.0153240958657926,0.0223850150206587,0.00139309962416296,"Mike Pouncey","LAC","OL",2018
"35","00-0025418",65,0.0151898666635899,0.0220025656874339,0.00138089696941726,"Greg Olsen","CAR","TE",2018
"36","00-0032145",1016,0.0151597513221075,0.0204677786666357,0.00137815921110068,"Cameron Erving","KC","OL",2018
"37","00-0027648",172,0.0150871979011389,0.0212556863599934,0.00137156344555808,"Rodger Saffold","LA","OL",2018
"38","00-0032009",969,0.0150666198121811,0.0215297838401313,0.00136969271019828,"Adam Humphries","TB","WR",2018
"39","00-0032415",1113,0.0150274802465444,0.0210795215959014,0.00136613456786768,"Matt Judon","BAL","LB",2018
"40","00-0031408",820,0.0149253070640675,0.0210381339028124,0.00135684609673341,"Mike Evans","TB","WR",2018
"41","00-0033110",1350,0.0147813479727921,0.0212330885113457,0.00134375890661746,"Tyler Higbee","LA","TE",2018
"42","00-0031936",948,0.0146347566341746,0.0211215308947016,0.0013304324212886,"Mitch Morse","KC","OL",2018
"43","00-0027025",135,0.0144696108226415,0.0210926406924944,0.00131541916569469,"Max Unger","NO","OL",2018
"44","00-0028434",314,0.0144482994812345,0.0204622422982938,0.00131348177102132,"Doug Baldwin","SEA","WR",2018
"45","00-0027859",206,0.0143761281587769,0.0209828310018486,0.00130692074170699,"Russell Okung","LAC","OL",2018
"46","00-0032416",1114,0.0143185815730945,0.0212885172707566,0.00130168923391768,"Quinton Jefferson","SEA","DL",2018
"47","00-0032241",1055,0.0143145137169243,0.0208876618754579,0.0013013194288113,"Todd Gurley","LA","RB",2018
"48","00-0033536",1478,0.0142687772929484,0.0215029046086585,0.00129716157208622,"Mike Williams","LAC","WR",2018
"49","00-0033106",1347,0.0141581182282094,0.0208890006868515,0.00128710165710995,"Jared Goff","LA","QB",2018
"50","00-0033562",1500,0.0140701400213191,0.0214961468346361,0.00127910363830174,"Ryan Switzer","PIT","WR",2018
"51","00-0030402",554,0.0140359444346759,0.0206918156250526,0.0012759949486069,"Akeem Spence","MIA","DL",2018
"52","00-0022924",20,0.0139680466387842,0.0213881981925564,0.00126982242170765,"Ben Roethlisberger","PIT","QB",2018
"53","00-0019596",4,0.0138184209823585,0.0212216245915892,0.00125622008930532,"Tom Brady","NE","QB",2018
"54","00-0031296",764,0.0137218645762124,0.0209068235096428,0.00124744223420112,"C.J. Mosley","BAL","LB",2018
"55","00-0030065",505,0.013670775676352,0.0205509223339867,0.00124279778875927,"Larry Warford","NO","OL",2018
"56","00-0031236",735,0.0135037659930397,0.0226266130891551,0.00122761509027634,"Brandin Cooks","LA","WR",2018
"57","00-0030067",507,0.0134564132449729,0.02118367608574,0.00122331029499754,"Terron Armstead","NO","OL",2018
"58","00-0026160",86,0.0132358662066298,0.0209082957551967,0.00120326056423907,"Aqib Talib","LA","DB",2018
"59","00-0033553",1494,0.0132257527110061,0.021414225134813,0.00120234115554601,"James Conner","PIT","RB",2018
"60","00-0030549",607,0.0129483539276605,0.0215186298855346,0.00117712308433277,"Tyler Eifert","CIN","TE",2018
"61","00-0031262",749,0.0129171380987351,0.0212953504263228,0.0011742852817032,"Bene' Benwikere","OAK","DB",2018
"62","00-0023459",33,0.0129102637966699,0.0209322669925038,0.00117366034515181,"Aaron Rodgers","GB","QB",2018
"63","00-0030543",605,0.01284445195984,0.0218648128206578,0.00116767745089455,"J.J. Wilcox","IND","DB",2018
"64","00-0030710",640,0.0126425550241092,0.0219967456720405,0.00114932318400993,"Trey Burton","CHI","TE",2018
"65","00-0032765",1211,0.0125191283084886,0.0215184343305685,0.00113810257349897,"Michael Thomas","NO","WR",2018
"66","00-0031580",870,0.0123812954267746,0.0216985426854802,0.00112557231152497,"Shaq Mason","NE","OL",2018
"67","00-0032387",1088,0.0123229088197883,0.0211831625260208,0.00112026443816257,"Jarran Reed","SEA","DL",2018
"68","00-0033544",1486,0.0122374939016342,0.0212214048189365,0.00111249944560311,"Quincy Wilson","IND","DB",2018
"69","00-0028083",282,0.0121971207244762,0.0222092097346714,0.00110882915677057,"Jacquizz Rodgers","TB","RB",2018
"70","00-0031566",861,0.0121544452088696,0.0207686298632474,0.00110494956444269,"Trey Flowers","NE","DL",2018
"71","00-0031040",682,0.0121437683388713,0.0207133709160081,0.00110397893989739,"Khalil Mack","CHI","LB",2018
"72","00-0032392",1093,0.0120674384544726,0.02153284862141,0.00109703985949751,"Austin Hooper","ATL","TE",2018
"73","00-0031386",809,0.0120325110902878,0.0218383187059894,0.00109386464457162,"Greg Robinson","CLE","OL",2018
"74","00-0032060",980,0.0120106964592102,0.0218283734231344,0.00109188149629184,"Eli Harold","DET","LB",2018
"75","00-0033905",1621,0.0119617874607075,0.0209605530208741,0.00108743522370068,"Larry Ogunjobi","CLE","DL",2018
"76","00-0031353",791,0.0119334565361342,0.0207151400257725,0.00108485968510311,"Michael Schofield","LAC","OL",2018
"77","00-0034765",1953,0.0119147141373052,0.0216483458414022,0.00108315583066411,"Tre'Quan Smith","NO","WR",2018
"78","00-0032071",985,0.0118158268825782,0.0210715041684843,0.00107416608023438,"Trent Brown","NE","OL",2018
"79","00-0033294",1394,0.0116528534925006,0.0212619682552824,0.00105935031750006,"Chuck Clark","BAL","DB",2018
"80","00-0031852",929,0.0116370456459483,0.0210300596846318,0.00105791324054075,"David Andrews","NE","OL",2018
"81","00-0033697",1542,0.0115494748959879,0.0206039618115064,0.00104995226327163,"Michael Davis","LAC","DB",2018
"82","00-0027944",230,0.0115463703393137,0.0210228705807335,0.0010496700308467,"Julio Jones","ATL","WR",2018
