"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0033040",1897,0.0268447020975623,0.0211423525975156,0.00244042746341476,"Tyreek Hill","KC","WR",2016
"2","00-0031279",1212,0.0230878121637029,0.0201628836844905,0.00209889201488208,"Jake Matthews","ATL","OL",2016
"3","00-0031062",1133,0.0223437191570645,0.0205966819472281,0.00203124719609677,"James White","NE","RB",2016
"4","00-0027150",310,0.0221320922146018,0.0202402767411425,0.00201200838314562,"Julian Edelman","NE","WR",2016
"5","00-0028002",478,0.0207262023128438,0.0194910426494994,0.00188420021025853,"Randall Cobb","GB","WR",2016
"6","00-0030074",841,0.0204639866377301,0.0205722084165101,0.00186036242161182,"David Bakhtiari","GB","OL",2016
"7","00-0024271",93,0.0194642010926492,0.0206202300711229,0.00176947282660447,"Chris Chester","ATL","OL",2016
"8","00-0026997",270,0.0194354905367223,0.0203070188437487,0.00176686277606567,"Alex Mack","ATL","OL",2016
"9","00-0031782",1411,0.019285584740503,0.0207023084428807,0.00175323497640936,"Eli Rogers","PIT","WR",2016
"10","00-0029786",783,0.0192790092546498,0.0200458686158659,0.00175263720496817,"Ryan Schraeder","ATL","OL",2016
"11","00-0031372",1271,0.0189274104359357,0.0189455308040597,0.00172067367599415,"Bradley Roby","DEN","DB",2016
"12","00-0026143",169,0.0183294933214132,0.0222885888660306,0.00166631757467393,"Matt Ryan","ATL","QB",2016
"13","00-0027940",436,0.0182959545108785,0.0198289591430914,0.00166326859189804,"Von Miller","DEN","LB",2016
"14","00-0027027",285,0.0180362057752653,0.0203089863950735,0.00163965507047866,"Andy Levitre","ATL","OL",2016
"15","00-0026194",189,0.0177500076641549,0.020672113626662,0.00161363706037772,"Jason Jones","MIA","DL",2016
"16","00-0032412",1655,0.0173669402779567,0.0203311871260049,0.00157881275254152,"Dean Lowry","GB","DL",2016
"17","00-0027944",440,0.0172810220126696,0.0199188807724192,0.00157100200115178,"Julio Jones","ATL","WR",2016
"18","00-0019596",4,0.0168123747913226,0.0202782483612821,0.00152839770830206,"Tom Brady","NE","QB",2016
"19","00-0031381",1275,0.0166990131762444,0.0201112314842475,0.00151809210693131,"Davante Adams","GB","WR",2016
"20","00-0023459",54,0.0166332638716388,0.0205476480311837,0.00151211489742171,"Aaron Rodgers","GB","QB",2016
"21","00-0027061",297,0.0166126484764451,0.0195443832591287,0.00151024077058592,"Jared Cook","GB","TE",2016
"22","00-0028237",543,0.0164409771915158,0.0197661487031463,0.0014946342901378,"Chris Hogan","NE","WR",2016
"23","00-0030443",938,0.0164260493531274,0.0198915567994425,0.00149327721392067,"Levine Toilolo","ATL","TE",2016
"24","00-0030127",867,0.0156881617236532,0.0199174383142803,0.00142619652033211,"Marcus Cooper","ARI","DB",2016
"25","00-0026232",198,0.0151863450996944,0.0196407282523666,0.00138057682724494,"Cliff Avril","SEA","DL",2016
"26","00-0032803",1813,0.0148824849543361,0.0203049416676949,0.00135295317766692,"Jalen Mills","PHI","DB",2016
"27","00-0022999",40,0.0148349774173106,0.020545187341924,0.0013486343106646,"John Kuhn","NO","RB",2016
